rank,channel_title,genre,saw_score,avg_view_count,avg_like_count,avg_comment_count,avg_watch_time,avg_engagement_rate,subscriber_count,top_video_titles,top_video_views,top_video_links
108,Ken & Grat,Kuliner,0.0939,227159,3160,269,44737.29,0.0181,3000000,"['COBAIN CAFE MEWAH NYA DEDDY CORBUZIER, RAME TERUS SEPANJANG HARI!', 'DAPUR ASIX ANANG ASHANTY BUKA LAGI, HARGA DARI 20.000 AJA!']","[541069, 440920]","['https://www.youtube.com/watch?v=hEIGjh9IQR4', 'https://www.youtube.com/watch?v=tHr1T08hrag']"
109,Bang Mpin,Kuliner,0.0917,57417,1134,91,10884.33,0.0217,627000,"['PADA BAWEL NYURUH KESINI !! AKHIRNYA GUE SAMPERIN LANGSUNG NIH..', 'KAGET PENGACARA ARTIS TERKENAL!! BANTING STIR MALAH JUALAN BAKSO..']","[82936, 79460]","['https://www.youtube.com/watch?v=ewwyzTTVnpk', 'https://www.youtube.com/watch?v=OQMNwscQDk0']"
110,Dyodoran,Kuliner,0.086,38068,536,55,8090.0,0.0205,722000,"['Seafood Legend Pinggir Jalan Harganya Murah Meriah, 50 Ribu Dapat Gurame Jumbo!', 'Spesial Masakan Jawa Ada di Sini! 8 Ribu Udah Bisa Makan Enak!']","[70120, 67223]","['https://www.youtube.com/watch?v=b-dNX85a0aI', 'https://www.youtube.com/watch?v=pC52ADbNa08']"
111,Gerry Girianza,Kuliner,0.0813,151897,2431,212,58563.17,0.0164,1500000,"['PANAS! SEBLAK MIE BANGLADESH SETAN PAKE WAGYU', 'VIRAL! MIE TOMYUM MURAH JUALAN 2jam LANGSUNG SOLDOUT']","[360747, 274852]","['https://www.youtube.com/watch?v=rTJwRCoQtgw', 'https://www.youtube.com/watch?v=L9jqK8lLxJc']"
112,Pengepul Mobil,Otomotif,0.0807,66212,931,95,25715.34,0.0186,587000,"['CUMA 195 JUTA⁉️APA SAJA KEKURANGAN DAN KELEBIHAN BYD ATTO 1 2025⁉️', 'LAND ROVER DEFENDER 110 DOUBLE CABIN, KITA SWAP ENGINE PAKAI MESIN FORD BARRA‼️PROJECT BARRA PART 1']","[174852, 124587]","['https://www.youtube.com/watch?v=dmbIIjQYiJs', 'https://www.youtube.com/watch?v=6SvZe7dwBn0']"
113,Otodriver,Otomotif,0.0798,36073,486,133,9895.06,0.0184,1490000,"['Wuling Cortez Darion : Ada Versi EV & PHEV', 'Daihatsu Rocky e-Smart Hybrid 2025: Hybrid CBU Jepang']","[72482, 71711]","['https://www.youtube.com/watch?v=u15u__XZoDo', 'https://www.youtube.com/watch?v=hI5bkCBnnCQ']"
114,Rumah Canda Melki,Kuliner,0.0796,67900,879,161,23045.85,0.0184,388000,"['BIKIN NGILER Jalan-Jalan ~ Seharian Kulineran Khas Klaten (episode 43)', 'BIKIN NGILER Jalan-Jalan ~ Kuliner Tradisional & Pesona Perkebunan Tembakau Temanggung (episode 44)']","[255653, 186404]","['https://www.youtube.com/watch?v=pDG7J0AzVXU', 'https://www.youtube.com/watch?v=Xh_A8PNBAbU']"
115,Trifellas,Podcast,0.0629,52361,941,103,37109.82,0.0143,26100,"['FILSAFAT & SEPAK BOLA', 'Skill Bisa Latih, Mental Bisa Nggak?']","[262692, 147851]","['https://www.youtube.com/watch?v=arGA7Kh_8Sw', 'https://www.youtube.com/watch?v=L1z6-SArYfU']"
116,ARYAPEDIA,Techno,0.0485,18195,155,29,3963.71,0.0119,8930,"['MENDING INI, 7 HP 3 JUTAAN TERBAIK [3,5 - 3,9 JUTAAN] HIGH PERFORMANCE 2025', 'YAKIN NOLAK?, 7 HP 4 JUTAAN TERBAIK HIGH PERFORMANCE JULI 2025']","[29007, 28031]","['https://www.youtube.com/watch?v=dG3PrpSnojI', 'https://www.youtube.com/watch?v=S-4y4wY3XhY']"
117,Autobahn ,Otomotif,0.0482,9643,87,1,35.74,0.012,10800,"['Cowo sebenarnya lebih cerdik gak sih ? 😂 #comedy', 'Maaf ya om selera saya sudah berubah 🙏🏻 #mercedes #otomotif']","[30786, 21725]","['https://www.youtube.com/watch?v=ewkBQRrrSx8', 'https://www.youtube.com/watch?v=pSYvrWPlS5I']"
118,Kaks Production,Podcast,0.0452,17499,180,1,219.27,0.0108,612000,"['Kaks Vino satu SMA dengan kaks Desta dan kaks Anggun', 'Awal kaarir film kaks Vino']","[36980, 27114]","['https://www.youtube.com/watch?v=iRP1dxZr_rY', 'https://www.youtube.com/watch?v=l_lJ1lmiPu4']"
119,AUTO DP,Otomotif,0.0417,5747,47,10,1023.63,0.0103,204000,"[""MEMBLUDAK‼ Baru 3 Hari DiPamerkan langsung Terjual 20.000'unit (calon mobil sejuta umat)"", 'BIKIN GEMPAR‼ Mentri Perindustrian Dibikin Kaget 😱 MOBIL Listrik T Buatan Indonesia !!']","[11592, 10373]","['https://www.youtube.com/watch?v=vJrFkmPh6m0', 'https://www.youtube.com/watch?v=Ood1XR8687Q']"
120,Abu Garage,Otomotif,0.0367,17185,152,1,167.99,0.0088,293000,"['Dozer vs Loader #alatberat #tambang #shortvideo', 'Ternyat Truk ini tidak bisa berjalan sendiri dijalan #alatberat #trukmania #tambang #shorts']","[39217, 28765]","['https://www.youtube.com/watch?v=mb6-iOw6Bvk', 'https://www.youtube.com/watch?v=9J4G5fJLFPo']"
