rank,channel_title,genre,saw_score,avg_view_count,avg_like_count,avg_comment_count,avg_watch_time,avg_engagement_rate,subscriber_count,top_video_titles,top_video_views,top_video_links
56,iben_ma,Entertainment,0.1622,354643,15510,164,26202.4,0.0326,4620000,"['TUKANG SUSHI PINGGIR JALAN MAKAN OMAKASE DARI..😱', 'GUA BARU KETIPU SAMPE 100 JUTA..😱']","[2467413, 320134]","['https://www.youtube.com/watch?v=UZezYc9pkec', 'https://www.youtube.com/watch?v=dQ3tojAkSKY']"
57,RJL 5 - Fajar Aditya,Podcast,0.1612,326152,5431,768,319360.53,0.0257,5310000,"['TEREKAM KAMERA?! 8 TAHUN KERJA DI KANTOR ELIT PENUH SETAN JAKARTA SELATAN #OMMAMAT', '8 HARI 9 MALAM TEROR DI BUS DAN DI HOTEL JAWA TIMUR! CERITA KEGIATAN SEKOLAH PALING HOROR? #OMMAMAT']","[907483, 754977]","['https://www.youtube.com/watch?v=rvIbs_pVMMc', 'https://www.youtube.com/watch?v=gxT65xWXmhA']"
58,Bang Tutorial,Techno,0.1606,13562,401,97,4597.81,0.0391,1380000,"['Bikin Bot Catatan Keuangan dengan n8n untuk Pemula (Bisa Upload Struk & Cek Laporan)', 'Cara Menghubungkan WhatsApp ke n8n | WAHA + n8n untuk Pemula']","[43327, 34924]","['https://www.youtube.com/watch?v=sZMQzHlbTDM', 'https://www.youtube.com/watch?v=NeSz_2Bdvkw']"
59,Tekno Tuner HS Official,Otomotif,0.1601,111568,3723,259,50840.26,0.0373,530000,"['H-1 ARISAN HP969‼️KOHANS SETTING 4 MOTOR MENCARI TIME TERBAIK', 'TEKNO TUNER SAPU BERSIH PODIUM DIKELAS SUNMORI PRO ‼️']","[194915, 157711]","['https://www.youtube.com/watch?v=o2VBxtmQKXs', 'https://www.youtube.com/watch?v=h9U9fy5_L4g']"
60,ochaxt,Techno,0.1601,16634,581,45,2953.01,0.0398,199000,"['React Setup KREATOR TECH!', 'Tablet Flagship 7 Jutaan lengkap sama Play Store! Xiaomi Pad 7 Pro!']","[36501, 30501]","['https://www.youtube.com/watch?v=6z6FS1OUcmM', 'https://www.youtube.com/watch?v=zlyp8vjBaiY']"
61,Tirta PengPengPeng,Edukasi,0.1573,323107,7942,843,268716.43,0.0283,1440000,"['#suaratirta NGOBROL BARENG DOKTER SPESIALIS THT: dr. MAHATMA SOTYA BAWONO, M.Sc., Sp.THT-KL. !', '#cipengvlog MENGOBATI RASA PENASARAN, KITA UJI TES CPET MICHAEL CHARLES DI WELSPRO!']","[557017, 511900]","['https://www.youtube.com/watch?v=MQ1S-9ky__s', 'https://www.youtube.com/watch?v=P7VYEbH6yYI']"
62,Ini Kata Dokter,Edukasi,0.1573,90888,2518,85,11509.62,0.0379,430000,"['Kebiasaan Merusak Ginjal!', 'Penyebab Cegukan']","[661870, 78062]","['https://www.youtube.com/watch?v=-E0Brk3Fy5s', 'https://www.youtube.com/watch?v=7-LbsitHzUQ']"
63,Youtuber Cupu,Techno,0.1563,140067,4087,466,18293.14,0.0365,732000,"['HP Ini Dihujat 1 Internet..', 'Ketika OPPO Serius Menantang POCO F7']","[336157, 258248]","['https://www.youtube.com/watch?v=eW5oFJeeJ94', 'https://www.youtube.com/watch?v=dwMkWGVZ2vg']"
64,Fajrul Fx,Techno,0.1548,202286,4906,434,52010.99,0.0344,1280000,"['Setelah meninggal dunia, otak Einstein dicuri, lalu diteliti. Ini hasilnya.', 'Bagaimana Teori Relativitas Einstein Pertama Kali Dibuktikan']","[547801, 345921]","['https://www.youtube.com/watch?v=ynumlnJEFvE', 'https://www.youtube.com/watch?v=SLI4d4tdg5k']"
65,deHakims channel,Entertainment,0.1544,160787,3217,151,62098.36,0.0285,10400000,"['SYOKK..! RAFFI AHMAD KASIH HADIAH GEDE BANGET UNTUK DJALU JUARA 1 DI PIALA PRESIDEN...!!', 'POPEYE KABUR KARNA BIRAHI PENGEN CAPER DIDEPAN ASRAMA PUTRI..!']","[391289, 230688]","['https://www.youtube.com/watch?v=iEN--E5XxTU', 'https://www.youtube.com/watch?v=4eXTVpw6-Qk']"
